time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
26624,12.0,11.57648332,26,61,433,0.2,0.0003,0.07218313962221146,250,-0.0032454957254230976,0.004929804,0.04267578125,-1.0295491628348827,0.9897697567939758,0.22799063622951507,,
27648,12.0,11.662113259999998,27,63,437,0.2,0.0003,0.030865579843521118,260,-0.003967681612994056,0.003930302,0.05771484375,-1.0083988595753908,0.9890746474266052,0.22904448434710503,,
28672,12.0,11.650328060000001,28,65,437,0.2,0.0003,0.04149670526385307,270,-0.0037479895865544675,0.005790896,0.023828125,-0.9644249860197306,0.9912904500961304,0.17746404921635986,,
29696,12.0,11.72993353,29,69,429,0.2,0.0003,0.06415066868066788,280,-0.0006257116358028725,0.0015698418,0.01455078125,-0.9182584136724472,0.9914723038673401,0.17161682862788438,,
30000,,,,,,0.2,0.0003,0.06433252990245819,290,-0.004035837878473103,0.007467175,0.0388671875,-0.8786874428391457,0.9916213154792786,0.15641224798746406,11.974644800000002,12.0
30720,12.0,11.72432124,30,71,428,,,,,,,,,,,,
31744,12.0,11.71943692,31,74,428,0.2,0.0003,0.0753665491938591,300,-0.00438636658800533,0.00808671,0.040625,-0.8328408867120742,0.9927512407302856,0.14678906216286122,,
32768,12.0,11.743503640000004,32,76,428,0.2,0.0003,0.1425531506538391,310,-0.0035614997672382743,0.000952264,0.006640625,-0.8107379257678986,0.3799862265586853,24.57288928302005,,
33792,12.0,11.789863899999995,33,79,427,0.2,0.0003,0.04918909817934036,320,-0.0035845771519234402,0.0068184696,0.0576171875,-0.7978303503245116,0.9931837320327759,0.1262774657458067,,
34816,12.0,11.757414170000002,34,80,430,0.2,0.0003,0.04939967393875122,330,-0.002315857238136232,0.0034022362,0.0248046875,-0.8000359557569027,0.9925840497016907,0.14972658418118953,,
35000,,,,,,0.2,0.0003,0.05499088764190674,340,-0.0037106856238096953,0.0073457,0.05380859375,-0.8193839814513921,0.9924705624580383,0.1458180256653577,11.788938550000001,12.0
35840,12.0,11.773323779999998,35,84,422,,,,,,,,,,,,
36864,12.0,11.74388898,36,87,422,0.2,0.0003,0.034139178693294525,350,-0.003783358016517013,0.0054331557,0.02958984375,-0.7960615284740925,0.9931397438049316,0.13852076190523804,,
37888,12.0,11.809417849999999,37,88,425,0.2,0.0003,0.023972244933247566,360,-0.007930527674034238,0.010262806,0.09443359375,-0.7825745284557343,0.9940271377563477,0.12392410321626812,,
38912,12.0,11.785710320000003,38,90,429,0.2,0.0003,0.054116666316986084,370,-0.00590899980161339,0.006860259,0.0666015625,-0.7588236059993505,0.9940139055252075,0.11936454568058252,,
39936,12.0,11.766610839999998,39,93,427,0.2,0.0003,0.05154481902718544,380,-0.003630062792217359,0.0045188516,0.0259765625,-0.7484983906149865,0.9938598275184631,0.12381015524733811,,
40000,,,,,,0.2,0.0003,0.04117683321237564,390,-0.007115931899170392,0.008061973,0.06630859375,-0.71067965477705,0.9934422969818115,0.13447893261909485,11.802854550000001,12.0
40960,12.0,11.843777189999999,40,95,429,,,,,,,,,,,,
41984,12.0,11.724581050000001,41,98,427,0.2,0.0003,0.0518428236246109,400,-0.005359700959525071,0.0084288325,0.0869140625,-0.694142522662878,0.9944655299186707,0.11178902003448457,,
43008,12.0,11.723035260000001,42,99,430,0.2,0.0003,0.041993461549282074,410,-0.0024535704986192288,0.003910076,0.0291015625,-0.6918607849627734,0.9942756295204163,0.11363649894483388,,
44032,12.0,11.79568072,43,102,431,0.2,0.0003,0.048004087060689926,420,-0.0007858150143874809,0.006165835,0.02021484375,-0.6574568126350642,0.994662344455719,0.10665692090988159,,
45000,,,,,,0.2,0.0003,0.042704563587903976,430,-0.003776749240932986,0.006377589,0.04248046875,-0.6097027439624071,0.9952399730682373,0.0987024576868862,11.80190545,12.0
45056,12.0,11.88383476,44,105,429,,,,,,,,,,,,
46080,12.0,11.82248868,45,107,429,0.2,0.0003,0.03589169681072235,440,-0.0033890882099512965,0.0051567685,0.05419921875,-0.6172204531729222,0.9952034950256348,0.10117187511641532,,
47104,12.0,11.844316729999997,46,110,427,0.2,0.0003,0.026361366733908653,450,-0.004513458054861985,0.006291838,0.0576171875,-0.6505830617621541,0.9947024583816528,0.11015499392524361,,
48128,12.0,11.715900299999998,47,112,429,0.2,0.0003,0.03296545892953873,460,-0.002592531862319447,0.005314487,0.03212890625,-0.6608671315014363,0.9955183863639832,0.09375791577622294,,
49152,12.0,11.743686719999998,48,115,426,0.2,0.0003,0.01923857256770134,470,-0.003803753515239805,0.002447934,0.0298828125,-0.6634658101946116,0.9951271414756775,0.10229644032660871,,
50000,,,,,,0.2,0.0003,0.03970072418451309,480,-0.0006142076177638956,0.0007666867,0.0126953125,-0.6499057039618492,0.9954959750175476,0.09787842866498978,11.89982975,12.0
50176,12.0,11.74267744,49,117,427,,,,,,,,,,,,
51200,12.0,11.76282087,50,120,425,0.2,0.0003,0.028770869597792625,490,-0.007165199858718552,0.008797141,0.0984375,-0.6644884679466486,0.995134174823761,0.10516219779383391,,
52224,12.0,11.75816387,51,122,427,0.2,0.0003,0.07227568328380585,500,-0.0020644624994019976,0.008605347,0.048046875,-0.6689224682748318,0.9947416186332703,0.1116679766215384,,
53248,12.0,11.8096673,52,124,426,0.2,0.0003,0.016789603978395462,510,-0.0022056857618736104,0.005985948,0.02626953125,-0.660396858677268,0.9945619106292725,0.11875462206080556,,
