maturation_qtr,margin_slope,capex_per_store,new_store_density,reached_breakeven,quarters_to_breakeven,aggressive_quarters_to_breakeven,final_margin
3.100667524082281,5.3096462600166894e-05,0.9330097234765267,370.6818083210529,1,6.5,99.0,0.010418206254786636
3.8693558562831933,4.5009959012154786e-05,1.8403751508238835,317.9837992405745,1,10.75,99.0,0.0014897863434988681
3.633367913945219,0.00012783104549970046,1.5489463198470628,491.3392454343268,1,2.75,99.0,0.05
2.119499641241516,0.00013261634494786254,1.6134686209584521,319.26741434762084,1,1.5,3.5,0.05
1.0709324921558954,3.228593904664158e-05,1.9062341557797013,457.18088411412,1,4.5,99.0,0.009051320539181392
2.898709286448167,6.713153274177026e-05,1.4321990137299916,406.3747080088931,1,4.5,99.0,0.021865631033106413
3.4611318597073275,6.695817509329452e-05,1.7220569289360756,485.2584798955246,1,5.5,99.0,0.016318604460047865
1.095647498286124,3.835388375217998e-05,1.7187506489657138,346.10637354875746,1,3.5,99.0,0.014539000329437512
3.2535563684823123,0.00012349655481768684,0.9465657614672065,392.0731767663074,1,2.5,99.0,0.05
2.0479801588135143,7.953326117923126e-05,2.4401301377955606,395.49007663225376,1,2.5,11.75,0.04054172801433481
2.2165248697028463,8.075389217256996e-05,1.1642176710426373,413.59875532894966,1,2.75,9.25,0.03973327054458328
1.1585753352837385,0.00010806899355865203,1.3122827499507168,400.57085601702187,1,1.0,1.5,0.05
3.2238894349467246,9.613732057793948e-05,2.488653281506208,378.99703921628816,1,3.25,99.0,0.037654520052381193
1.8362352963136024,0.0001375838179092297,0.9521990992510221,456.53771624259696,1,1.25,2.0,0.05
2.864582905614252,7.544020383042976e-05,2.473594046206995,406.5993914212173,1,4.0,99.0,0.027653632811996485
2.296156922645207,6.754559153334404e-05,1.0197854149071008,404.31285622054645,1,3.5,99.0,0.028683250900679243
3.976927990917905,3.543103734556511e-05,2.1902110343994745,301.1732367176917,0,99.0,99.0,-0.003126129818145376
3.854273188169704,8.284577756173196e-05,1.7759592585422586,488.0604473932515,1,4.75,99.0,0.02299790342620357
3.240672635571361,6.179869923250086e-05,1.5521477927955103,404.4616186747386,1,5.5,99.0,0.014696509326333106
3.1809232646605086,0.00011927624011315619,2.142164742513187,411.11265819651356,1,2.5,99.0,0.05
3.952708703016347,6.299947431984089e-05,0.9762941191212523,450.921571095579,1,6.75,99.0,0.010664314406081992
2.5109787347419124,0.00013225066164758762,2.401250759416828,305.9724377498368,1,1.75,12.0,0.05
2.5031935450857734,0.0001235159758683936,2.388116302826598,422.43369087646164,1,2.0,9.5,0.05
1.94638705250083,0.00010472394207177265,2.369772104825817,383.4802824371304,1,1.75,6.0,0.05
3.6978314283785894,5.774877423784094e-05,1.0416026330560653,344.3767870865524,1,7.0,99.0,0.00907452411508352
3.9542647455490854,0.00011449877443272048,0.7748255582839476,396.7974885280299,1,3.25,99.0,0.041293285404485514
3.9447303696686293,8.802015932061642e-05,1.2120117249965672,385.5934612510356,1,4.5,99.0,0.025364142077326835
2.32520146038494,4.6853297194156214e-05,0.7005246897632906,397.0861723367053,1,5.5,99.0,0.012222803432952085
2.614816822603062,8.676991712952973e-05,1.8555423358402428,470.5608939673338,1,3.0,99.0,0.03923768111962053
3.8123591602161477,9.037767069419333e-05,2.140493877589953,320.4235172485849,1,4.25,99.0,0.027239139226477155
2.8851314072724072,3.8073742790439026e-05,0.7945234472071397,468.4126186276286,1,9.5,99.0,0.002848499731556032
3.9323588533282265,0.00012654321480347293,2.0830006096214237,391.6193489488611,1,3.0,99.0,0.047982229685854305
1.8114836995040253,5.933403004769809e-05,1.941561540557081,401.50175739503095,1,3.25,99.0,0.026968745139345437
1.5819267919900057,0.00012854118404797733,0.7275975944410744,438.36527430920995,1,1.25,1.75,0.05
2.986496074100119,8.860403889218069e-05,1.7773785568508629,369.43910225482034,1,3.5,99.0,0.03573869914206078
1.1471770088531807,0.00013318273563210365,1.2743903240203784,453.5781437287487,1,1.0,1.0,0.05
1.4281243936385548,9.133218548908141e-05,1.8181252796133027,395.9315208690356,1,1.5,2.5,0.05
1.5416796003827518,0.00012555917149716184,0.7666717899782369,320.24980441676513,1,1.25,1.75,0.05
2.889995015817279,0.00013095142825431507,0.9988560715932553,451.9841656763419,1,2.0,5.25,0.05
1.451168494531867,8.013094821460897e-05,1.7037682310927922,318.65601744987674,1,1.75,3.5,0.048064649868508225
1.1499428464968242,7.554391428524013e-05,0.7150473276916371,441.73827522955537,1,1.5,2.0,0.047088804861989825
3.0809526473000455,3.789104114710969e-05,2.4445151611162252,372.1849922220166,1,11.0,99.0,0.0010748866331372238
1.368801608430664,0.00013609048683758926,1.6798670732731562,432.2233193507296,1,1.0,1.25,0.05
3.8449838092914743,4.681635727795495e-05,0.8787106230764717,479.2765914794103,1,9.5,99.0,0.0031406315073424715
1.5789799473173867,4.8523964501628144e-05,1.9185498173376183,341.4776655989984,1,3.75,99.0,0.01993176863288715
